"Ochric epipedon"||0|||23|||23||"13889425"|"5598019"
"Cambic horizon"||23|||53|||30||"13889425"|"5598020"
"Ochric epipedon"||0|||23|||23||"13889426"|"5598021"
"Cambic horizon"||23|||53|||30||"13889426"|"5598022"
"Cambic horizon"|15|25|30|23|89|106|8|64|76|"13889427"|"5598023"
"Ochric epipedon"|0|0|0|15|25|30|15|25|30|"13889427"|"5598024"
"Fragipan"|66|74|97|102|132|203|20|58|137|"13889428"|"5598025"
"Ochric epipedon"|0|0|0|13|23|30|13|23|30|"13889428"|"5598026"
"Cambic horizon"|13|23|30|48|74|97|36|51|66|"13889428"|"5598027"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13889429"|"5598028"
"Fragipan"|36|51|66|74|183|183|38|132|142|"13889429"|"5598029"
"Cambic horizon"|3|20|30|13|51|93|10|31|63|"13889429"|"5598030"
"Fragipan"|25|48|56|76|147|183|51|99|127|"13889430"|"5598031"
"Ochric epipedon"|0|0|0|25|48|56|25|48|56|"13889430"|"5598032"
"Ochric epipedon"|0|0|0|13|18|28|13|18|28|"13889431"|"5598033"
"Cambic horizon"|13|18|28|28|66|102|15|48|69|"13889431"|"5598034"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13889432"|"5598035"
"Cambic horizon"|3|20|30|13|51|93|10|31|63|"13889432"|"5598036"
"Fragipan"|36|51|66|74|183|183|38|132|142|"13889432"|"5598037"
"Fragipan"|25|48|56|76|147|183|51|99|127|"13889433"|"5598038"
"Ochric epipedon"|0|0|0|25|48|56|25|48|56|"13889433"|"5598039"
"Fragipan"|66|74|97|102|132|203|20|58|137|"13889434"|"5598040"
"Ochric epipedon"|0|0|0|13|23|30|13|23|30|"13889434"|"5598041"
"Cambic horizon"|13|23|30|48|74|97|36|51|66|"13889434"|"5598042"
"Ochric epipedon"|0|0|0|13|18|28|13|18|28|"13889435"|"5598043"
"Cambic horizon"|13|18|28|28|66|102|15|48|69|"13889435"|"5598044"
"Ochric epipedon"|0|0|0|10|20|30|10|20|30|"13889436"|"5598045"
"Cambic horizon"|10|20|30|25|31|56|11|11|46|"13889436"|"5598046"
"Fragipan"|25|41|56|102|152|200|46|111|175|"13889436"|"5598047"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13889437"|"5598048"
"Cambic horizon"|3|20|30|13|55|76|13|35|66|"13889437"|"5598049"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889437"|"5598050"
"Ochric epipedon"|0|0|0|13|25|61|13|25|61|"13889438"|"5598051"
"Fragipan"|25|41|61|91|117|140|30|76|115|"13889438"|"5598052"
"Cambic horizon"|13|25|61|25|41|61|15|16|48|"13889438"|"5598053"
"Ochric epipedon"|0|0|0|10|20|30|10|20|30|"13889439"|"5598054"
"Cambic horizon"|10|20|30|25|41|56|15|21|46|"13889439"|"5598055"
"Fragipan"|25|41|56|102|152|200|46|111|175|"13889439"|"5598056"
"Ochric epipedon"|0|0|0|13|25|61|13|25|61|"13889440"|"5598057"
"Fragipan"|25|41|61|91|117|140|30|76|115|"13889440"|"5598058"
"Cambic horizon"|13|25|61|25|41|61|15|16|48|"13889440"|"5598059"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13889441"|"5598060"
"Cambic horizon"|3|20|30|13|55|76|13|35|66|"13889441"|"5598061"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889441"|"5598062"
"Ochric epipedon"|0|0|0|10|20|30|10|20|30|"13889442"|"5598063"
"Cambic horizon"|10|20|30|25|41|56|15|21|46|"13889442"|"5598064"
"Fragipan"|25|41|56|102|152|200|46|111|175|"13889442"|"5598065"
"Ochric epipedon"|0|0|0|13|25|61|13|25|61|"13889443"|"5598066"
"Fragipan"|25|41|61|91|117|140|30|76|115|"13889443"|"5598067"
"Cambic horizon"|13|25|61|25|41|61|15|16|48|"13889443"|"5598068"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13889444"|"5598069"
"Cambic horizon"|3|20|30|13|55|76|13|35|66|"13889444"|"5598070"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889444"|"5598071"
"Ochric epipedon"|0|0|0|3|12|30|3|12|30|"13889445"|"5598072"
"Cambic horizon"|3|12|30|25|41|56|15|29|46|"13889445"|"5598073"
"Fragipan"|25|41|56|102|152|200|46|111|175|"13889445"|"5598074"
"Ochric epipedon"|0|0|0|3|7|30|3|7|30|"13889446"|"5598075"
"Cambic horizon"|3|7|30|13|55|76|13|48|66|"13889446"|"5598076"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889446"|"5598077"
"Fragipan"|43|66|91|102|152|203|36|86|160|"13889451"|"5598078"
"Ochric epipedon"|0|0|0|10|18|28|10|18|28|"13889451"|"5598079"
"Cambic horizon"|10|18|28|43|66|91|15|48|81|"13889451"|"5598080"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13889452"|"5598081"
"Cambic horizon"|3|20|30|13|55|76|13|35|66|"13889452"|"5598082"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889452"|"5598083"
"Ochric epipedon"|0|0|0|10|20|30|10|20|30|"13889453"|"5598084"
"Cambic horizon"|10|20|30|25|41|56|15|21|46|"13889453"|"5598085"
"Fragipan"|25|41|56|102|152|200|46|111|175|"13889453"|"5598086"
"Fragipan"|43|66|91|102|152|203|36|86|160|"13889455"|"5598087"
"Ochric epipedon"|0|0|0|10|18|28|10|18|28|"13889455"|"5598088"
"Cambic horizon"|10|18|28|43|66|91|15|48|81|"13889455"|"5598089"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13889456"|"5598090"
"Cambic horizon"|3|20|30|13|55|76|13|35|66|"13889456"|"5598091"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889456"|"5598092"
"Ochric epipedon"|0|0|0|10|20|30|10|20|30|"13889457"|"5598093"
"Cambic horizon"|10|20|30|25|41|56|15|21|46|"13889457"|"5598094"
"Fragipan"|25|41|56|102|152|200|46|111|175|"13889457"|"5598095"
"Fragipan"|43|66|91|102|152|203|36|86|160|"13889459"|"5598096"
"Ochric epipedon"|0|0|0|10|18|28|10|18|28|"13889459"|"5598097"
"Cambic horizon"|10|18|28|43|66|91|15|48|81|"13889459"|"5598098"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13889460"|"5598099"
"Cambic horizon"|3|20|30|13|55|76|13|35|66|"13889460"|"5598100"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889460"|"5598101"
"Fragipan"|43|66|91|102|152|203|36|86|160|"13889462"|"5598102"
"Ochric epipedon"|0|0|0|5|10|28|5|10|28|"13889462"|"5598103"
"Cambic horizon"|5|10|28|43|66|91|15|56|81|"13889462"|"5598104"
"Ochric epipedon"|0|0|0|3|10|30|3|10|30|"13889464"|"5598105"
"Cambic horizon"|3|10|30|13|55|76|13|45|66|"13889464"|"5598106"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889464"|"5598107"
"Fragipan"|43|66|91|102|152|203|36|86|160|"13889468"|"5598108"
"Ochric epipedon"|0|0|0|3|7|28|3|7|28|"13889468"|"5598109"
"Cambic horizon"|3|7|28|43|66|91|15|59|81|"13889468"|"5598110"
"Ochric epipedon"|0|0|0|3|7|30|3|7|30|"13889470"|"5598111"
"Cambic horizon"|3|7|30|13|55|76|13|48|66|"13889470"|"5598112"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889470"|"5598113"
"Fragipan"|43|66|91|102|152|203|36|86|160|"13889474"|"5598114"
"Ochric epipedon"|0|0|0|3|7|28|3|7|28|"13889474"|"5598115"
"Cambic horizon"|3|7|28|43|66|91|15|59|81|"13889474"|"5598116"
"Ochric epipedon"|0|0|0|3|8|23|3|8|23|"13889477"|"5598117"
"Cambic horizon"|3|8|23|25|43|51|5|35|46|"13889477"|"5598118"
"Ochric epipedon"|0|0|0|7|10|25|7|10|25|"13889478"|"5598119"
"Cambic horizon"|7|10|25|64|122|183|39|112|176|"13889478"|"5598120"
"Ochric epipedon"|0|0|0|3|8|23|3|8|23|"13889479"|"5598121"
"Cambic horizon"|3|8|23|25|43|51|5|35|46|"13889479"|"5598122"
"Ochric epipedon"|0|0|0|3|7|30|3|7|30|"13889481"|"5598123"
"Cambic horizon"|3|7|30|13|55|76|13|48|66|"13889481"|"5598124"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889481"|"5598125"
"Ochric epipedon"|0|0|0|3|13|18|3|13|18|"13889484"|"5598126"
"Cambic horizon"|3|13|18|28|66|102|10|53|99|"13889484"|"5598127"
"Ochric epipedon"|0|0|0|3|8|23|3|8|23|"13889485"|"5598128"
"Cambic horizon"|3|8|23|25|43|51|5|35|46|"13889485"|"5598129"
"Fragipan"|43|66|91|102|152|203|36|86|160|"13889486"|"5598130"
"Ochric epipedon"|0|0|0|3|7|28|3|7|28|"13889486"|"5598131"
"Cambic horizon"|3|7|28|43|66|91|15|59|81|"13889486"|"5598132"
"Ochric epipedon"|0|0|0|3|10|30|3|10|30|"13889487"|"5598133"
"Cambic horizon"|3|10|30|13|55|76|13|45|66|"13889487"|"5598134"
"Fragipan"|36|55|76|81|140|200|36|85|154|"13889487"|"5598135"
"Ochric epipedon"|0|0|0|3|8|23|3|8|23|"13889491"|"5598136"
"Cambic horizon"|3|8|23|25|43|51|5|35|46|"13889491"|"5598137"
"Ochric epipedon"|0|0|0|3|13|18|3|13|18|"13889494"|"5598138"
"Cambic horizon"|3|13|18|28|66|102|10|53|99|"13889494"|"5598139"
"Ochric epipedon"|0|0|25|0|18|25|0|18|25|"13889495"|"5598140"
"Cambic horizon"|0|18|25|25|43|51|5|25|46|"13889495"|"5598141"
