"g"|"39868119"|"14895976"
"g"|"39868120"|"14895979"
"g"|"39868121"|"14895978"
"g"|"39868122"|"14895977"
"g"|"39868123"|"14895980"
"p"|"39868124"|"14895975"
"g"|"39868125"|"14895983"
"g"|"39868126"|"14895982"
"g"|"39868127"|"14895985"
"g"|"39868129"|"14895981"
"g"|"39868130"|"14895984"
"p"|"39868131"|"14895986"
"w"|"39868132"|"14895987"
"w"|"39868133"|"14895988"
"w"|"39868137"|"14896002"
"w"|"39868138"|"14896003"
"x"|"39868140"|"14896004"
"p"|"39868141"|"14896001"
"p"|"39868142"|"14895989"
"w"|"39868143"|"14895990"
"x"|"39868145"|"14895991"
"x"|"39868147"|"14895994"
"p"|"39868149"|"14895992"
"w"|"39868150"|"14895993"
"p"|"39868151"|"14896136"
"w"|"39868152"|"14896137"
"w"|"39868153"|"14896138"
"p"|"39868156"|"14895996"
"w"|"39868157"|"14895997"
"x"|"39868159"|"14895995"
"p"|"39868161"|"14895999"
"w"|"39868162"|"14896000"
"x"|"39868164"|"14895998"
"w"|"39868165"|"14896005"
"w"|"39868166"|"14896006"
"x"|"39868168"|"14896007"
"p"|"39868169"|"14896008"
"p"|"39868171"|"14896139"
"w"|"39868172"|"14896140"
"w"|"39868173"|"14896141"
"p"|"39868176"|"14896009"
"w"|"39868177"|"14896010"
"g"|"39868178"|"14896012"
"x"|"39868180"|"14896011"
"w"|"39868181"|"14896014"
"x"|"39868182"|"14896015"
"p"|"39868184"|"14896013"
"g"|"39868186"|"14896016"
"g"|"39868187"|"14896019"
"x"|"39868188"|"14896017"
"g"|"39868188"|"14896018"
"p"|"39868190"|"14896093"
"w"|"39868191"|"14896094"
"x"|"39868192"|"14896095"
"g"|"39868194"|"14896096"
"g"|"39868197"|"14896020"
"g"|"39868198"|"14896023"
"x"|"39868199"|"14896021"
"g"|"39868199"|"14896022"
"w"|"39868200"|"14896025"
"x"|"39868201"|"14896026"
"p"|"39868203"|"14896024"
"p"|"39868204"|"14896097"
"w"|"39868205"|"14896098"
"x"|"39868206"|"14896099"
"g"|"39868208"|"14896100"
"g"|"39868210"|"14896027"
"g"|"39868211"|"14896030"
"x"|"39868212"|"14896028"
"g"|"39868212"|"14896029"
"w"|"39868214"|"14896032"
"x"|"39868215"|"14896033"
"p"|"39868217"|"14896031"
"g"|"39868219"|"14896036"
"x"|"39868220"|"14896035"
"e"|"39868221"|"14896037"
"w"|"39868223"|"14896034"
"w"|"39868224"|"14896038"
"x"|"39868225"|"14896039"
"e"|"39868226"|"14896040"
"w"|"39868244"|"14896042"
"w"|"39868246"|"14896044"
"x"|"39868247"|"14896043"
"p"|"39868248"|"14896041"
"w"|"39868249"|"14896046"
"x"|"39868250"|"14896047"
"p"|"39868252"|"14896045"
"x"|"39868253"|"14896050"
"p"|"39868254"|"14896048"
"w"|"39868255"|"14896049"
"g"|"39868257"|"14896051"
"p"|"39868258"|"14896052"
"w"|"39868259"|"14896053"
"w"|"39868261"|"14896055"
"w"|"39868263"|"14896057"
"x"|"39868264"|"14896056"
"p"|"39868265"|"14896054"
"w"|"39868266"|"14896059"
"x"|"39868267"|"14896060"
"p"|"39868269"|"14896058"
"x"|"39868270"|"14896063"
"p"|"39868271"|"14896061"
"w"|"39868272"|"14896062"
"g"|"39868274"|"14896064"
"w"|"39868279"|"14896066"
"w"|"39868281"|"14896068"
"x"|"39868282"|"14896067"
"p"|"39868283"|"14896065"
"w"|"39868284"|"14896070"
"x"|"39868285"|"14896071"
"p"|"39868287"|"14896069"
"e"|"39868292"|"14896075"
"w"|"39868293"|"14896074"
"w"|"39868295"|"14896072"
"x"|"39868296"|"14896073"
"w"|"39868302"|"14896076"
"x"|"39868303"|"14896077"
"w"|"39868310"|"14896078"
"w"|"39868311"|"14896079"
"w"|"39868319"|"14896085"
"x"|"39868320"|"14896086"
"w"|"39868322"|"14896087"
"e"|"39868323"|"14896088"
"e"|"39868329"|"14896081"
"x"|"39868330"|"14896082"
"w"|"39868333"|"14896080"
"w"|"39868337"|"14896083"
"w"|"39868338"|"14896084"
"w"|"39868347"|"14896089"
"x"|"39868348"|"14896090"
"w"|"39868350"|"14896091"
"e"|"39868351"|"14896092"
"w"|"39868361"|"14896121"
"e"|"39868364"|"14896122"
"w"|"39868365"|"14896123"
"w"|"39868366"|"14896124"
"w"|"39868369"|"14896125"
"e"|"39868370"|"14896126"
"w"|"39868373"|"14896102"
"w"|"39868374"|"14896101"
"e"|"39868375"|"14896103"
"w"|"39868377"|"14896104"
"e"|"39868378"|"14896105"
"x"|"39868379"|"14896106"
"w"|"39868390"|"14896133"
"w"|"39868391"|"14896134"
"e"|"39868394"|"14896135"
"w"|"39868396"|"14896108"
"w"|"39868397"|"14896107"
"e"|"39868398"|"14896109"
"w"|"39868402"|"14896112"
"e"|"39868403"|"14896113"
"w"|"39868404"|"14896110"
"x"|"39868405"|"14896111"
"w"|"39868406"|"14896114"
"x"|"39868407"|"14896115"
"w"|"39868420"|"14896117"
"w"|"39868421"|"14896116"
"e"|"39868422"|"14896118"
"w"|"39868424"|"14896119"
"w"|"39868425"|"14896120"
"e"|"39868428"|"14896129"
"w"|"39868431"|"14896127"
"w"|"39868432"|"14896128"
"p"|"39868434"|"14896130"
"w"|"39868435"|"14896131"
"w"|"39868436"|"14896132"
