"Channery"|"80327281"|"21873111"
"Channery"|"80327370"|"21873144"
"Very gravelly"|"80327372"|"21873143"
"Very channery"|"80327445"|"21873961"
"Very channery"|"80327472"|"21873614"
"Very gravelly"|"80327488"|"21873410"
"Flaggy"|"80327490"|"21873408"
"Gravelly"|"80327513"|"21874145"
"Very flaggy"|"80327529"|"21874407"
"Channery"|"80327563"|"21874487"
"Very channery"|"80327595"|"21873924"
"Channery"|"80327622"|"21873434"
"Very flaggy"|"80327679"|"21874465"
"Gravelly"|"80327704"|"21874097"
"Very channery"|"80327722"|"21874108"
"Channery"|"80327738"|"21873925"
"Flaggy"|"80327747"|"21873640"
"Gravelly"|"80327763"|"21873421"
"Channery"|"80327779"|"21873378"
"Gravelly"|"80327788"|"21874143"
"Extremely flaggy"|"80327804"|"21874426"
"Extremely flaggy"|"80327831"|"21874052"
"Very flaggy"|"80327847"|"21874489"
"Channery"|"80327865"|"21874122"
"Extremely channery"|"80327872"|"21873949"
"Channery"|"80327881"|"21873664"
"Channery"|"80327888"|"21873641"
"Flaggy"|"80327904"|"21873422"
"Channery"|"80327924"|"21873379"
"Very channery"|"80327931"|"21874148"
"Very channery"|"80327956"|"21874402"
"Very channery"|"80328008"|"21874110"
"Gravelly"|"80328024"|"21873279"
"Gravelly"|"80328033"|"21873246"
"Very channery"|"80328049"|"21874739"
"Very channery"|"80328072"|"21874235"
"Flaggy"|"80328074"|"21874627"
"Very channery"|"80328106"|"21873496"
"Channery"|"80328133"|"21874889"
"Very channery"|"80328147"|"21874127"
"Gravelly"|"80328156"|"21873576"
"Very channery"|"80328258"|"21874272"
"Channery"|"80328297"|"21873970"
"Channery"|"80328299"|"21873984"
"Cobbly"|"80328315"|"21873247"
"Very channery"|"80328322"|"21874714"
"Channery"|"80328324"|"21874716"
"Gravelly"|"80328340"|"21873524"
"Channery"|"80328392"|"21874252"
"Very flaggy"|"80328406"|"21874908"
"Channery"|"80328408"|"21874910"
"Very gravelly"|"80328415"|"21874884"
"Very channery"|"80328449"|"21873579"
"Extremely channery"|"80328451"|"21873586"
"Channery"|"80328490"|"21874756"
"Channery"|"80328508"|"21874628"
"Very channery"|"80328515"|"21874599"
"Gravelly"|"80328531"|"21873515"
"Gravelly"|"80328533"|"21873513"
"Channery"|"80328565"|"21874279"
"Extremely channery"|"80328592"|"21873987"
"Channery"|"80328599"|"21874014"
"Channery"|"80328649"|"21874670"
"Extremely flaggy"|"80328685"|"21874843"
"Gravelly"|"80328735"|"21874037"
"Gravelly"|"80328740"|"21873968"
"Very channery"|"80328765"|"21874568"
"Channery"|"80328785"|"21874631"
"Very channery"|"80328808"|"21874677"
"Extremely channery"|"80328826"|"21874871"
"Extremely channery"|"80328835"|"21874838"
"Gravelly"|"80328865"|"21873348"
"Gravelly"|"80328876"|"21873328"
"Channery"|"80328908"|"21874552"
"Very channery"|"80328933"|"21874638"
"Very channery"|"80328944"|"21873709"
"Channery"|"80328960"|"21874689"
"Gravelly"|"80329001"|"21873092"
"Gravelly"|"80329017"|"21873351"
"Gravelly"|"80329026"|"21873327"
"Gravelly"|"80329049"|"21873223"
"Gravelly"|"80329108"|"21873561"
"Channery"|"80329124"|"21873753"
"Channery"|"80329126"|"21874164"
"Very channery"|"80329153"|"21874314"
"Gravelly"|"80329203"|"21873182"
"Very gravelly"|"80329251"|"21873193"
"Channery"|"80329267"|"21874174"
"Very channery"|"80329276"|"21873459"
"Very channery"|"80329292"|"21874318"
"Channery"|"80329335"|"21874541"
"Flaggy"|"80329358"|"21873743"
"Channery"|"80329392"|"21874693"
"Very flaggy"|"80329437"|"21874353"
"Gravelly"|"80329442"|"21874367"
"Channery"|"80329453"|"21873790"
"Very channery"|"80329485"|"21873890"
"Very channery"|"80329487"|"21873900"
"Gravelly"|"80329526"|"21873217"
"Channery"|"80329567"|"21873365"
"Channery"|"80329587"|"21874165"
"Channery"|"80329594"|"21874186"
"Channery"|"80329603"|"21873461"
"Gravelly"|"80329612"|"21873765"
"Channery"|"80329621"|"21874331"
"Gravelly"|"80329637"|"21874372"
"Gravelly"|"80329644"|"21873785"
"Channery"|"80329701"|"21873842"
"Channery"|"80329751"|"21873871"
"Channery"|"80327304"|"21873062"
"Very gravelly"|"80327311"|"21873345"
"Gravelly"|"80327354"|"21873179"
"Gravelly"|"80327361"|"21873167"
"Gravelly"|"80327397"|"21873554"
"Very gravelly"|"80327406"|"21873200"
"Very gravelly"|"80327413"|"21873215"
"Very channery"|"80327440"|"21873467"
"Very channery"|"80327454"|"21873929"
"Channery"|"80327479"|"21873440"
"Channery"|"80327481"|"21873428"
"Gravelly"|"80327495"|"21873394"
"Very channery"|"80327515"|"21874206"
"Channery"|"80327520"|"21874435"
"Gravelly"|"80327572"|"21874512"
"Very channery"|"80327590"|"21873951"
"Channery"|"80327613"|"21873619"
"Channery"|"80327663"|"21874413"
"Channery"|"80327672"|"21874448"
"Very channery"|"80327674"|"21874450"
"Flaggy"|"80327690"|"21874440"
"Very channery"|"80327695"|"21874057"
"Very channery"|"80327697"|"21874078"
"Flaggy"|"80327706"|"21874477"
"Channery"|"80327724"|"21874123"
"Channery"|"80327731"|"21873950"
"Channery"|"80327749"|"21873632"
"Channery"|"80327781"|"21873374"
"Gravelly"|"80327790"|"21874210"
"Channery"|"80327797"|"21873404"
"Channery"|"80327856"|"21874514"
"Very channery"|"80327863"|"21874118"
"Channery"|"80327874"|"21873942"
"Very flaggy"|"80327883"|"21873657"
"Channery"|"80327890"|"21873633"
"Flaggy"|"80327906"|"21873415"
"Very channery"|"80327958"|"21874394"
"Channery"|"80327965"|"21874457"
