"id","valid_id","sname","sauthor","tname","tauthor","resource_id","resname","datecollected","latitude","longitude","lifestage","basisofrecord","datelastcached","dateprecision","datelastmodified","depth","depthprecision","temperature","salinity","nitrate","oxygen","phosphate","silicate"
15764363,698575,"Maurolicus muelleri","","Maurolicus muelleri","(Gmelin, 1789)",2417,"Fish specimens","",42.2999992370605,-65.1666641235352,"","S",2011-10-06 00:00:00,"","",,,,,,,,
15802977,786427,"Myliobatis freminvillei","","Myliobatis freminvillei","Lesueur, 1824",2417,"Fish specimens","1982-09-23",37,-75.8166656494141,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15806787,435352,"Raja laevis","","Raja laevis","Mitchill, 1818",2417,"Fish specimens","1982-09-23",36.6500015258789,-75.8666687011719,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15660388,698575,"Maurolicus muelleri","","Maurolicus muelleri","(Gmelin, 1789)",2417,"Fish specimens","1967-04-04",36.4916648864746,-74.7249984741211,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15794608,661124,"Prionotus salmonicolor","","Prionotus salmonicolor","(Fowler, 1903)",2417,"Fish specimens","1982-09-22",35.3333320617676,-75.3166656494141,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15800351,452155,"Helicolenus dactylopterus","","Helicolenus dactylopterus","(Delaroche, 1809)",2417,"Fish specimens","1968-07-08",42.2999992370605,-65.1666641235352,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15782760,479153,"Notoscopelus kroyeri","","Notoscopelus kroyeri","(Malm, 1861)",2417,"Fish specimens","1966-07-28",40.9388885498047,-66.5833358764648,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
13084404,513581,"Stenotomus chrysops","","Stenotomus chrysops","(Linnaeus, 1766)",2417,"Fish specimens","1966-02-08",35.7666664123535,-74.8666687011719,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15788464,602793,"Ariomma melanum","","Ariomma melanum","(Ginsburg, 1954)",2417,"Fish specimens","1966-07-28",40.6888885498047,-66.7972259521484,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15684528,491493,"Pholis gunnellus","","Pholis gunnellus","(Linnaeus, 1758)",2417,"Fish specimens","1919-09-22",44.2666664123535,-66.3499984741211,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15610780,455798,"Hygophum hygomii","","Hygophum hygomii","(Lütken, 1892)",2417,"Fish specimens","1966-07-28",40.9388885498047,-66.5833358764648,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15787578,454198,"Paralichthys oblongus","","Paralichthys oblongus","(Mitchill, 1815)",2417,"Fish specimens","1966-02-08",35.7666664123535,-74.8666687011719,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15688573,474433,"Myoxocephalus aeneus","","Myoxocephalus aenaeus","(Mitchill, 1814)",2417,"Fish specimens","1922-08-25",45.3158340454102,-64.4361114501953,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15669067,509408,"Seriola zonata","","Seriola zonata","(Mitchill, 1815)",2417,"Fish specimens","1982-09-22",35.3833351135254,-75.4333343505859,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15662533,454210,"Hippoglossus hippoglossus","","Hippoglossus hippoglossus","(Linnaeus, 1758)",2417,"Fish specimens","1949-06-15",45.0999984741211,-66.033332824707,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15656060,512833,"Squalus acanthias","","Squalus acanthias","Linnaeus, 1758",2417,"Fish specimens","1966-02-08",35.7666664123535,-74.8666687011719,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15609091,526625,"Zenopsis conchifera","","Zenopsis conchifera","(Lowe, 1852)",2417,"Fish specimens","1966-02-08",35.7666664123535,-74.8666687011719,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15776014,521632,"Trinectes maculatus","","Trinectes maculatus","(Bloch & Schneider, 1801)",2417,"Fish specimens","1982-09-27",38.6666679382324,-75,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15680895,418294,"Centropristis striatus","","Centropristis striata","(Linnaeus, 1758)",2417,"Fish specimens","1966-02-08",35.7666664123535,-74.8666687011719,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15696556,609706,"Caranx bartholomaei","","Caranx bartholomaei","Cuvier, 1833",2417,"Fish specimens","1982-09-22",35.3333320617676,-75.3166656494141,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15772317,512833,"Squalus acanthias","","Squalus acanthias","Linnaeus, 1758",2417,"Fish specimens","1966-02-08",35.7666664123535,-74.8666687011719,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
15816802,620721,"Diaphus dumerilii","","Diaphus dumerilii","(Bleeker, 1856)",2417,"Fish specimens","1967-04-04",36.4916648864746,-74.7249984741211,"","S",2011-10-06 00:00:00,"12:00:00","",,,,,,,,
